parcode,trial,choice,rt,item_left,item_right
1,1,-1,1700.0,3,1
1,2,1,2120.0,0,1
1,3,-1,2520.0,2,2
1,4,1,2270.0,0,1
1,5,-1,1310.0,2,1
1,6,1,2610.0,0,1
1,7,-1,1370.0,2,0
1,8,1,1700.0,0,2
1,9,-1,1810.0,3,2
1,10,1,1950.0,2,2
1,11,-1,1480.0,2,1
1,12,1,1170.0,0,2
1,13,-1,980.0,3,0
1,14,1,5680.0,2,2
1,15,1,1240.0,0,1
1,16,1,1590.0,1,2
1,17,-1,6070.0,1,1
1,18,1,24250.0,1,1
1,19,1,2520.0,1,2
1,20,-1,5220.0,2,1
1,21,1,900.0,0,2
1,22,1,1080.0,0,3
1,23,1,15640.0,0,0
1,24,1,1500.0,2,3
1,25,1,1540.0,2,3
1,26,1,6260.0,0,0
1,27,-1,4190.0,1,0
1,28,1,2130.0,1,2
1,29,-1,980.0,3,0
1,30,-1,1280.0,2,0
1,31,-1,5280.0,0,0
1,32,-1,1210.0,3,1
1,33,-1,2370.0,1,0
1,34,1,1310.0,1,1
1,35,-1,2150.0,1,0
1,36,1,1910.0,1,1
1,37,1,3050.0,2,3
1,38,-1,4380.0,2,1
1,39,-1,1790.0,2,1
1,40,1,1670.0,0,2
1,41,1,1080.0,0,2
1,42,1,3270.0,1,2
1,43,1,1090.0,0,2
1,44,1,2080.0,1,3
1,45,1,3460.0,2,2
1,46,-1,2160.0,1,0
1,47,1,1850.0,0,2
1,48,1,1650.0,0,1
1,49,1,2010.0,1,2
1,50,-1,2530.0,2,1
1,51,1,4680.0,0,0
1,52,-1,1280.0,2,0
1,53,-1,950.0,3,1
1,54,1,3980.0,0,0
1,55,1,2430.0,2,3
1,56,1,990.0,0,2
1,57,1,1110.0,0,3
1,58,1,2250.0,2,2
1,59,1,3750.0,1,2
1,60,-1,1070.0,3,0
1,61,1,2720.0,1,2
1,62,-1,3640.0,0,0
1,63,-1,1340.0,3,1
1,64,-1,1680.0,2,1
1,65,-1,2340.0,3,2
1,66,1,1620.0,0,1
1,67,1,1750.0,0,1
1,68,-1,7890.0,2,2
1,69,-1,1090.0,2,1
1,70,1,1280.0,0,3
1,71,-1,1680.0,3,2
1,72,1,2560.0,1,2
1,73,1,4240.0,1,2
