parcode,trial,choice,rt,item_left,item_right
1,74,-1,1730.0,1,0
1,75,-1,2080.0,2,1
1,76,1,2380.0,1,2
1,77,-1,3030.0,2,1
1,78,1,3090.0,1,2
1,79,1,2580.0,0,1
1,80,1,1320.0,2,3
1,81,-1,950.0,2,0
1,82,-1,1150.0,3,1
1,83,1,10660.0,1,1
1,84,-1,1920.0,3,1
1,85,-1,2800.0,2,1
1,86,-1,1190.0,1,0
1,87,1,1050.0,0,2
1,88,-1,1050.0,2,0
1,89,-1,680.0,2,1
1,90,-1,7060.0,1,1
1,91,-1,1000.0,3,1
1,92,-1,3120.0,2,2
1,93,-1,630.0,3,0
1,94,-1,1190.0,2,0
1,95,-1,1110.0,1,0
1,96,1,1900.0,2,3
1,97,-1,3490.0,2,1
1,98,-1,770.0,3,0
1,99,-1,1330.0,2,0
1,100,1,1330.0,2,3
1,101,-1,890.0,3,0
1,102,1,1600.0,1,3
1,103,1,730.0,0,3
1,104,1,880.0,0,3
1,105,1,2240.0,1,2
1,106,1,3280.0,0,1
1,107,-1,2120.0,3,2
1,108,1,1150.0,0,2
1,109,-1,1700.0,1,0
1,110,-1,2750.0,1,0
1,111,-1,2810.0,1,0
1,112,-1,1310.0,1,0
1,113,-1,970.0,2,1
1,114,1,4750.0,0,1
1,115,1,2120.0,0,1
1,116,-1,660.0,2,0
1,117,-1,4430.0,3,2
1,118,-1,1410.0,2,0
1,119,1,1420.0,1,2
1,120,-1,1920.0,3,1
1,121,1,1670.0,1,2
1,122,1,1030.0,0,2
1,123,1,1970.0,1,2
1,124,1,820.0,1,3
1,125,1,1600.0,0,2
1,126,-1,3720.0,3,2
1,127,1,2280.0,0,1
1,128,1,5070.0,1,2
1,129,1,790.0,0,2
1,130,1,820.0,0,3
1,131,1,1650.0,1,3
1,132,1,1200.0,1,3
1,133,-1,2310.0,2,0
1,134,-1,9560.0,0,0
1,135,-1,1390.0,1,0
1,136,1,4270.0,0,0
1,137,1,5620.0,1,1
1,138,1,1380.0,0,3
1,139,-1,3480.0,1,0
1,140,-1,2820.0,2,1
1,141,-1,680.0,2,0
1,142,1,2130.0,0,2
1,143,1,2850.0,0,1
1,144,1,2260.0,1,2
1,145,1,50660.0,0,0
1,146,1,1550.0,1,3
1,147,-1,13390.0,1,1
1,148,1,1050.0,0,3
1,149,-1,1190.0,3,0
1,150,1,2560.0,0,1
1,151,-1,1830.0,2,1
1,152,-1,860.0,2,0
1,153,-1,1900.0,2,1
1,154,-1,5850.0,2,2
1,155,-1,5100.0,3,2
1,156,-1,1830.0,1,0
1,157,1,590.0,0,3
1,158,1,2580.0,2,3
1,159,-1,2340.0,1,0
1,160,-1,1130.0,2,0
1,161,-1,950.0,2,0
1,162,1,1420.0,1,3
1,163,-1,1090.0,3,0
1,164,1,3190.0,1,2
1,165,1,940.0,0,2
1,166,-1,1440.0,2,0
1,167,-1,3600.0,3,2
1,168,-1,650.0,2,0
1,169,1,3320.0,0,1
1,170,-1,18510.0,0,0
1,171,-1,5240.0,2,2
1,172,1,2720.0,2,3
1,173,-1,3230.0,1,0
1,174,1,1600.0,0,2
1,175,1,13970.0,2,2
1,176,-1,2370.0,2,1
1,177,-1,960.0,1,0
1,178,-1,650.0,2,0
1,179,1,2790.0,2,3
1,180,1,1090.0,0,2
1,181,1,2140.0,0,2
1,182,1,3010.0,0,1
1,183,-1,860.0,1,0
1,184,-1,1140.0,3,1
1,185,-1,5980.0,1,1
1,186,-1,1330.0,3,1
1,187,1,1190.0,0,2
1,188,-1,4770.0,1,1
1,189,1,2910.0,0,1
1,190,1,2770.0,1,2
1,191,-1,1470.0,1,0
1,192,-1,1580.0,2,1
1,193,-1,2200.0,2,1
1,194,1,2350.0,0,1
1,195,1,930.0,2,3
1,196,-1,7020.0,3,2
1,197,-1,1900.0,3,2
1,198,-1,8180.0,2,2
1,199,-1,1570.0,2,1
1,200,1,3530.0,1,2
1,201,1,4290.0,1,2
1,202,1,4030.0,0,0
1,203,-1,1200.0,3,0
1,204,-1,730.0,3,1
1,205,-1,920.0,3,0
1,206,1,1200.0,1,3
1,207,1,1590.0,0,2
1,208,-1,12280.0,1,1
1,209,1,1560.0,0,1
1,210,-1,2650.0,3,2
1,211,1,4140.0,2,2
1,212,-1,2150.0,2,1
1,213,-1,1230.0,2,0
1,214,1,1570.0,0,2
1,215,-1,740.0,3,0
1,216,1,1320.0,0,3
1,217,-1,1360.0,2,1
1,218,1,1580.0,1,3
1,219,1,1040.0,0,1
1,220,-1,2220.0,2,0
1,221,-1,3870.0,2,2
1,222,-1,1780.0,2,0
1,223,1,2330.0,0,2
1,224,1,1180.0,0,1
1,225,1,1940.0,1,2
1,226,1,2100.0,1,2
1,227,-1,1150.0,2,0
1,228,-1,1900.0,1,0
1,229,1,1700.0,1,2
1,230,-1,1370.0,3,1
1,231,-1,2460.0,2,1
1,232,1,3840.0,2,3
1,233,-1,1140.0,3,0
1,234,1,1000.0,0,2
1,235,-1,17960.0,1,1
1,236,-1,9760.0,1,1
1,237,-1,1500.0,2,1
1,238,-1,2280.0,1,0
1,239,-1,920.0,3,0
1,240,1,1920.0,1,3
1,241,-1,1340.0,3,2
1,242,1,1970.0,0,1
1,243,1,3250.0,1,1
1,244,-1,760.0,2,0
1,245,1,3190.0,2,3
1,246,-1,2240.0,2,0
1,247,1,5370.0,1,2
1,248,-1,18710.0,1,1
1,249,-1,1660.0,1,0
1,250,1,1120.0,1,3
1,251,-1,2810.0,2,1
1,252,1,1670.0,0,2
1,253,-1,730.0,3,0
1,254,-1,3620.0,2,2
1,255,-1,1190.0,1,0
1,256,-1,5060.0,0,0
1,257,-1,20900.0,2,2
1,258,1,2810.0,0,1
1,259,1,1460.0,1,3
1,260,-1,950.0,3,1
1,261,1,1210.0,0,2
1,262,1,870.0,0,3
1,263,-1,1700.0,2,0
1,264,-1,5060.0,0,0
1,265,1,1820.0,0,1
1,266,-1,1620.0,2,1
1,267,1,600.0,0,2
1,268,1,1030.0,0,1
1,269,1,5590.0,2,3
1,270,-1,4620.0,1,0
1,271,-1,670.0,2,0
1,272,1,790.0,0,2
1,273,1,1370.0,1,3
1,274,1,2350.0,0,2
1,275,1,1960.0,1,2
1,276,1,4440.0,3,2
1,277,-1,1220.0,2,0
1,278,-1,1800.0,1,0
1,279,-1,1690.0,3,1
1,280,-1,2300.0,1,0
1,281,-1,1210.0,2,0
1,282,-1,1410.0,2,1
1,283,1,780.0,0,3
1,284,-1,780.0,2,0
1,285,1,1070.0,0,2
1,286,1,3010.0,0,1
1,287,-1,1410.0,1,0
1,288,1,5490.0,2,2
1,289,1,960.0,0,3
1,290,-1,4550.0,1,0
1,291,-1,1040.0,1,0
1,292,1,51110.0,0,0
1,293,1,2140.0,2,3
1,294,1,880.0,0,3
1,295,-1,820.0,3,0
1,296,1,1850.0,0,1
1,297,-1,1070.0,3,2
1,298,1,3400.0,0,1
1,299,-1,1580.0,1,0
1,300,1,680.0,0,3
1,301,-1,1460.0,3,2
1,302,1,2350.0,2,3
1,303,-1,1530.0,2,1
1,304,1,1330.0,1,3
1,305,-1,750.0,2,0
1,306,-1,2600.0,2,1
1,307,-1,1500.0,3,2
1,308,1,2970.0,1,2
1,309,1,2260.0,1,2
1,310,-1,1520.0,1,0
1,311,1,2710.0,0,1
1,312,-1,740.0,3,1
1,313,1,1600.0,0,1
1,314,1,8770.0,1,1
1,315,1,950.0,0,2
1,316,-1,840.0,3,0
1,317,-1,2190.0,2,1
1,318,1,2830.0,1,2
1,319,-1,950.0,3,1
1,320,-1,910.0,2,0
1,321,1,1000.0,0,3
1,322,-1,980.0,2,0
1,323,-1,1460.0,1,0
1,324,1,1230.0,0,2
1,325,1,480.0,0,3
1,326,1,1250.0,1,2
1,327,1,650.0,0,3
1,328,1,4830.0,2,2
1,329,1,2310.0,2,3
1,330,1,13140.0,2,2
1,331,1,1280.0,0,2
1,332,-1,1230.0,2,0
1,333,1,2180.0,0,1
1,334,-1,3460.0,1,0
1,335,-1,930.0,2,1
1,336,-1,1020.0,3,0
1,337,1,2900.0,2,3
1,338,-1,1380.0,2,1
1,339,1,11350.0,0,0
1,340,1,2720.0,1,2
1,341,-1,2020.0,1,0
1,342,-1,4150.0,1,1
1,343,-1,950.0,3,2
1,344,1,820.0,0,3
1,345,-1,1130.0,3,1
1,346,-1,810.0,3,0
1,347,1,2880.0,1,2
1,348,-1,2130.0,3,2
1,349,1,3780.0,2,3
1,350,-1,3330.0,1,0
1,351,1,2440.0,2,3
1,352,1,1160.0,0,2
1,353,-1,1660.0,1,0
1,354,1,4900.0,2,2
1,355,-1,1660.0,2,1
1,356,1,4020.0,0,1
1,357,-1,3900.0,3,2
1,358,1,1770.0,0,1
1,359,-1,1840.0,2,1
1,360,-1,2810.0,2,1
1,361,-1,1240.0,2,0
1,362,-1,2020.0,2,0
1,363,-1,2550.0,2,1
1,364,-1,1190.0,3,1
1,365,-1,5250.0,0,0
1,366,1,1390.0,1,2
1,367,-1,1500.0,2,1
1,368,1,980.0,1,3
1,369,1,1710.0,0,2
1,370,1,1860.0,0,1
1,371,-1,1150.0,2,0
1,372,-1,3930.0,2,1
1,373,1,1050.0,0,2
1,374,-1,3820.0,2,1
1,375,1,16950.0,0,0
1,376,1,2680.0,2,2
1,377,1,5330.0,0,0
1,378,-1,1240.0,2,0
1,379,1,1100.0,0,2
1,380,-1,1320.0,2,0
1,381,1,1660.0,0,1
1,382,1,1350.0,0,2
1,383,1,920.0,0,2
1,384,1,700.0,0,3
1,385,-1,10330.0,1,1
1,386,1,930.0,0,3
1,387,1,3170.0,1,2
1,388,1,3600.0,2,3
1,389,-1,2350.0,2,0
1,390,1,1960.0,1,2
1,391,-1,3190.0,1,0
1,392,-1,2190.0,3,2
1,393,1,800.0,1,3
1,394,1,1020.0,0,2
1,395,-1,690.0,3,0
1,396,1,2030.0,1,2
1,397,-1,1220.0,3,1
1,398,-1,1450.0,2,1
1,399,-1,1700.0,3,2
1,400,1,6150.0,1,1
1,401,1,3620.0,0,1
1,402,1,870.0,0,3
1,403,-1,1590.0,3,2
1,404,1,2460.0,1,2
1,405,-1,5380.0,0,0
1,406,1,3350.0,1,2
1,407,1,6050.0,2,2
1,408,1,1730.0,0,1
1,409,1,3030.0,2,3
1,410,1,1880.0,1,3
1,411,1,3150.0,1,2
1,412,1,2350.0,0,1
1,413,-1,4750.0,1,0
1,414,-1,2260.0,2,1
1,415,-1,1330.0,1,0
1,416,1,5620.0,1,1
1,417,-1,1230.0,3,1
1,418,-1,1090.0,2,0
1,419,-1,1140.0,3,1
1,420,1,7940.0,2,2
1,421,1,1960.0,2,3
1,422,1,1440.0,0,2
1,423,1,4300.0,2,3
1,424,-1,2060.0,1,0
1,425,1,1370.0,0,1
1,426,-1,2700.0,3,2
1,427,-1,1070.0,3,0
1,428,-1,1370.0,2,0
1,429,-1,1760.0,1,0
1,430,-1,1580.0,2,1
1,431,-1,1670.0,2,1
1,432,-1,7660.0,2,2
1,433,-1,2090.0,1,0
1,434,1,1490.0,0,1
1,435,1,2230.0,0,1
1,436,1,1840.0,0,1
1,437,-1,1310.0,2,1
1,438,-1,990.0,3,1
1,439,1,910.0,0,3
1,440,1,1820.0,1,2
1,441,1,1400.0,0,2
1,442,1,1480.0,1,3
1,443,1,1400.0,1,3
1,444,-1,1000.0,3,0
1,445,-1,2240.0,2,0
1,446,1,37310.0,0,0
1,447,1,14780.0,1,1
1,448,-1,1760.0,2,1
1,449,1,1000.0,0,2
1,450,-1,2200.0,1,0
1,451,1,2200.0,0,1
1,452,-1,1560.0,2,0
1,453,1,1200.0,1,2
1,454,-1,1590.0,2,0
1,455,-1,13970.0,1,1
1,456,1,1210.0,0,2
1,457,-1,2070.0,3,1
1,458,-1,1980.0,3,1
1,459,1,1320.0,1,2
1,460,1,2520.0,1,2
1,461,1,1160.0,0,2
1,462,-1,840.0,3,2
1,463,-1,920.0,3,1
1,464,1,3240.0,1,2
1,465,-1,1410.0,3,2
1,466,1,790.0,0,3
1,467,1,1490.0,0,2
1,468,1,900.0,1,3
1,469,1,5380.0,0,0
1,470,1,1960.0,0,2
1,471,1,4410.0,0,0
1,472,1,990.0,1,3
1,473,1,1820.0,0,3
1,474,1,950.0,1,3
1,475,-1,1090.0,2,1
1,476,-1,2490.0,2,2
1,477,-1,1220.0,2,0
1,478,-1,1750.0,2,0
1,479,-1,3440.0,1,0
1,480,1,620.0,1,3
1,481,1,1640.0,0,1
1,482,1,980.0,0,2
1,483,1,820.0,0,3
1,484,1,3570.0,1,2
1,485,1,2120.0,1,2
1,486,-1,2550.0,2,1
1,487,-1,27570.0,0,0
1,488,1,3990.0,1,1
1,489,-1,1700.0,1,0
1,490,-1,1210.0,3,2
1,491,-1,630.0,2,0
1,492,1,12380.0,1,1
1,493,1,2030.0,1,2
1,494,1,1190.0,0,2
1,495,-1,990.0,3,0
1,496,1,1790.0,1,2
1,497,1,830.0,0,1
1,498,-1,1550.0,3,1
1,499,1,3450.0,2,3
1,500,1,1200.0,0,3
1,501,-1,13820.0,0,0
1,502,1,1160.0,1,3
1,503,-1,2000.0,2,0
1,504,-1,2140.0,2,1
1,505,-1,3140.0,0,0
1,506,-1,790.0,3,1
1,507,-1,2860.0,1,0
1,508,1,2300.0,0,1
1,509,-1,1980.0,2,1
1,510,1,13540.0,1,1
1,511,-1,2350.0,3,2
1,512,1,1550.0,0,1
1,513,1,16760.0,1,1
1,514,1,2970.0,2,3
1,515,1,1280.0,0,2
1,516,-1,2290.0,2,1
1,517,-1,2800.0,1,0
1,518,1,2370.0,1,3
1,519,-1,840.0,3,1
1,520,1,4340.0,1,2
1,521,-1,1940.0,1,0
1,522,1,3650.0,1,2
1,523,-1,1450.0,2,0
1,524,1,1130.0,0,2
1,525,-1,1350.0,2,0
1,526,1,1550.0,0,1
1,527,-1,9540.0,0,0
1,528,1,1070.0,0,2
1,529,-1,1220.0,2,0
1,530,1,2830.0,0,1
1,531,-1,780.0,3,0
1,532,1,2380.0,2,3
1,533,1,660.0,0,3
1,534,1,10180.0,2,2
1,535,1,660.0,0,3
1,536,-1,690.0,3,2
1,537,-1,910.0,3,0
1,538,-1,2540.0,2,0
1,539,1,910.0,2,3
1,540,-1,1370.0,1,0
1,541,1,1610.0,0,2
1,542,1,4290.0,2,2
1,543,-1,3240.0,2,1
1,544,1,2600.0,1,2
1,545,-1,970.0,2,0
1,546,-1,1240.0,3,0
1,547,1,10150.0,2,2
1,548,1,2400.0,1,2
1,549,-1,900.0,2,1
1,550,1,1010.0,0,1
1,551,1,5360.0,2,2
1,552,1,3800.0,0,1
1,553,-1,2480.0,1,0
1,554,-1,1830.0,3,1
1,555,1,1050.0,0,2
1,556,-1,1660.0,2,1
1,557,-1,1500.0,3,2
1,558,-1,2790.0,2,1
1,559,-1,3280.0,1,0
1,560,-1,1920.0,2,1
1,561,1,1100.0,0,2
1,562,1,2680.0,2,3
1,563,-1,2370.0,2,1
1,564,1,1290.0,0,2
1,565,-1,2240.0,2,1
1,566,1,3090.0,1,2
1,567,1,2710.0,1,2
1,568,-1,1690.0,2,1
1,569,-1,5610.0,2,2
1,570,1,5060.0,0,0
1,571,1,1000.0,0,2
1,572,-1,1560.0,2,0
1,573,-1,8840.0,1,1
1,574,-1,1170.0,1,0
1,575,-1,1460.0,1,0
1,576,-1,940.0,3,0
1,577,1,1650.0,0,1
1,578,1,1190.0,1,2
1,579,-1,1450.0,2,0
1,580,-1,1070.0,2,0
1,581,1,960.0,0,3
1,582,1,780.0,2,3
1,583,1,2870.0,0,1
1,584,1,22600.0,1,1
1,585,1,6300.0,0,1
1,586,1,900.0,1,3
1,587,-1,1480.0,3,2
1,588,1,3210.0,1,2
1,589,-1,960.0,3,1
1,590,-1,7320.0,1,1
1,591,-1,2280.0,3,0
1,592,1,2840.0,0,1
1,593,1,3350.0,0,1
1,594,-1,1870.0,0,0
1,595,-1,1970.0,1,0
1,596,-1,1050.0,2,0
1,597,-1,32270.0,0,0
1,598,-1,1400.0,2,0
1,599,-1,11720.0,2,2
1,600,1,11110.0,1,1
1,601,1,2520.0,1,2
1,602,1,1270.0,0,2
1,603,-1,1540.0,1,0
1,604,1,1240.0,1,3
1,605,1,690.0,0,2
1,606,1,1550.0,1,3
1,607,-1,1100.0,2,0
1,608,1,1600.0,0,1
1,609,1,990.0,1,2
1,610,-1,1670.0,1,0
1,611,1,950.0,0,2
1,612,1,2460.0,0,1
1,613,1,8550.0,2,2
1,614,1,2040.0,2,2
1,615,-1,1060.0,2,0
1,616,-1,1970.0,1,0
1,617,-1,2920.0,2,1
1,618,-1,2320.0,1,0
1,619,1,1510.0,0,1
1,620,-1,950.0,3,0
1,621,-1,3020.0,3,2
1,622,-1,2610.0,1,0
1,623,1,830.0,0,3
1,624,-1,3620.0,1,1
1,625,1,1480.0,0,2
1,626,-1,1910.0,2,1
1,627,-1,1550.0,1,0
1,628,1,790.0,2,3
1,629,-1,630.0,3,0
1,630,1,1860.0,1,2
1,631,1,4670.0,1,1
1,632,1,1740.0,2,3
1,633,1,2050.0,0,1
1,634,1,1840.0,0,1
1,635,-1,1020.0,3,1
1,636,1,1920.0,0,1
1,637,-1,930.0,3,0
1,638,-1,1210.0,3,2
1,639,1,2270.0,1,3
1,640,-1,2190.0,3,2
1,641,1,2100.0,2,3
1,642,1,1140.0,1,2
1,643,-1,1080.0,2,0
1,644,-1,3290.0,1,1
1,645,1,1710.0,0,1
1,646,1,3290.0,2,3
1,647,1,2860.0,0,1
1,648,1,10990.0,0,0
1,649,1,930.0,0,1
1,650,1,1250.0,1,2
1,651,1,1710.0,0,1
1,652,-1,2750.0,2,1
1,653,-1,830.0,2,1
1,654,-1,1560.0,2,1
1,655,1,950.0,0,2
1,656,1,2780.0,2,2
1,657,1,530.0,0,3
1,658,-1,3170.0,2,1
1,659,-1,4350.0,1,0
1,660,-1,3200.0,2,1
1,661,-1,810.0,2,0
1,662,1,5210.0,2,3
1,663,1,1460.0,1,2
1,664,-1,2040.0,1,0
1,665,1,1160.0,0,1
1,666,-1,800.0,2,0
1,667,-1,1360.0,3,1
1,668,1,5340.0,1,1
1,669,-1,5470.0,2,2
1,670,1,1370.0,0,2
1,671,-1,2260.0,1,0
1,672,1,1690.0,1,2
1,673,-1,1440.0,2,0
1,674,1,910.0,0,2
1,675,-1,480.0,3,1
1,676,-1,6740.0,0,0
1,677,-1,1690.0,3,1
1,678,-1,3110.0,1,0
1,679,1,1060.0,0,2
1,680,-1,6080.0,0,0
1,681,1,2400.0,0,1
1,682,-1,1950.0,2,0
1,683,1,1700.0,0,1
1,684,1,4710.0,1,2
1,685,-1,1280.0,2,0
1,686,1,2710.0,2,3
1,687,1,23360.0,0,0
1,688,-1,1460.0,2,1
1,689,1,910.0,0,2
1,690,-1,1380.0,3,1
1,691,-1,1380.0,1,0
1,692,1,1430.0,0,2
1,693,-1,2370.0,2,1
1,694,-1,2320.0,2,1
1,695,1,4980.0,1,2
1,696,-1,1340.0,2,0
1,697,-1,1430.0,3,2
1,698,1,2860.0,1,2
1,699,-1,2160.0,2,1
1,700,-1,1760.0,1,0
1,701,-1,1780.0,1,0
1,702,1,4560.0,0,0
1,703,-1,14780.0,1,1
1,704,1,27330.0,0,0
1,705,1,3080.0,0,1
1,706,1,4500.0,0,1
1,707,1,1750.0,0,2
1,708,-1,1200.0,3,0
1,709,1,1330.0,1,3
1,710,-1,1660.0,2,0
1,711,1,1910.0,1,2
1,712,1,15060.0,0,0
1,713,-1,2360.0,2,1
1,714,1,2660.0,0,1
1,715,1,3340.0,1,2
1,716,1,1490.0,0,2
1,717,-1,1110.0,3,1
1,718,-1,1370.0,3,1
1,719,1,1490.0,0,1
1,720,-1,1410.0,2,1
1,721,1,6760.0,2,2
1,722,1,2270.0,0,1
1,723,1,1810.0,0,1
1,724,-1,2160.0,1,0
1,725,1,19480.0,1,1
1,726,1,580.0,0,2
1,727,1,1490.0,0,1
1,728,1,2500.0,0,1
1,729,1,5230.0,0,0
1,730,1,3190.0,1,2
1,731,1,5860.0,2,2
1,732,1,1130.0,0,2
1,733,1,870.0,1,3
1,734,1,1310.0,1,3
1,735,-1,1070.0,3,0
1,736,-1,1200.0,3,1
1,737,-1,890.0,2,0
1,738,1,2610.0,1,2
1,739,1,1600.0,0,2
1,740,-1,2290.0,3,2
1,741,-1,4480.0,0,0
1,742,-1,1250.0,2,0
1,743,-1,610.0,2,0
1,744,1,3160.0,0,1
1,745,1,2720.0,2,3
1,746,1,3050.0,1,2
1,747,-1,2000.0,1,0
1,748,1,8090.0,1,1
1,749,1,2710.0,0,1
1,750,-1,1350.0,2,0
1,751,-1,2050.0,2,1
1,752,-1,860.0,1,0
1,753,-1,970.0,3,0
1,754,-1,1650.0,2,1
1,755,1,5150.0,1,2
1,756,-1,890.0,2,0
1,757,1,1520.0,0,2
1,758,1,800.0,1,3
1,759,-1,1480.0,2,0
1,760,-1,2240.0,2,2
1,761,1,1470.0,0,3
1,762,-1,1050.0,3,1
1,763,1,900.0,0,3
1,764,-1,2910.0,1,0
1,765,-1,13300.0,2,2
1,766,-1,670.0,3,1
1,767,-1,3200.0,1,1
1,768,-1,1080.0,3,0
1,769,-1,1040.0,3,2
1,770,1,1440.0,1,2
1,771,-1,83300.0,0,0
1,772,-1,900.0,3,0
1,773,-1,5520.0,1,1
1,774,1,3560.0,0,1
1,775,1,1400.0,1,3
1,776,1,1130.0,0,2
1,777,-1,6100.0,3,2
1,778,-1,890.0,3,0
1,779,-1,610.0,3,0
1,780,1,1190.0,1,3
1,781,-1,2740.0,1,0
1,782,1,1940.0,0,1
1,783,-1,740.0,3,0
1,784,-1,2040.0,1,0
1,785,1,2210.0,1,2
1,786,1,6600.0,0,0
1,787,-1,1140.0,2,0
1,788,1,1440.0,1,2
1,789,1,940.0,0,3
1,790,-1,2360.0,3,2
1,791,-1,1950.0,2,1
1,792,-1,2660.0,1,1
1,793,1,12880.0,1,1
1,794,-1,2810.0,1,0
1,795,1,1000.0,0,3
1,796,1,2250.0,0,1
1,797,1,2110.0,2,3
1,798,1,2650.0,0,1
1,799,-1,920.0,2,0
1,800,-1,2210.0,3,2
1,801,-1,2880.0,2,2
1,802,-1,2160.0,2,0
1,803,-1,1120.0,2,1
1,804,-1,3120.0,2,1
1,805,-1,1450.0,3,0
1,806,1,1160.0,0,2
1,807,-1,3960.0,3,2
1,808,1,2050.0,0,1
1,809,1,860.0,0,3
1,810,-1,910.0,3,0
1,811,-1,1330.0,2,0
1,812,-1,2910.0,3,1
1,813,1,960.0,0,3
1,814,1,740.0,1,3
1,815,-1,2560.0,2,1
1,816,1,720.0,0,2
1,817,1,2020.0,0,2
1,818,-1,2100.0,1,0
1,819,-1,2460.0,2,1
1,820,-1,15970.0,1,1
1,821,-1,800.0,2,0
1,822,1,1310.0,1,2
1,823,1,1170.0,1,3
1,824,-1,5260.0,1,0
1,825,-1,1100.0,3,1
1,826,1,1140.0,0,2
1,827,1,1130.0,0,2
1,828,-1,7470.0,1,1
1,829,1,780.0,0,3
1,830,1,4150.0,1,2
1,831,1,2430.0,2,3
1,832,-1,1680.0,1,0
1,833,-1,1850.0,2,1
1,834,-1,2770.0,2,1
1,835,1,1630.0,0,1
1,836,-1,2190.0,2,1
1,837,1,1570.0,0,1
1,838,-1,1860.0,3,1
1,839,-1,1270.0,3,2
1,840,1,2740.0,2,2
1,841,-1,880.0,2,0
1,842,1,950.0,1,2
1,843,1,15290.0,0,0
1,844,-1,920.0,2,0
1,845,-1,8970.0,2,2
1,846,1,1450.0,1,2
1,847,1,1260.0,2,3
1,848,-1,1960.0,2,1
1,849,-1,2230.0,2,1
1,850,-1,3630.0,1,0
1,851,-1,3280.0,1,0
1,852,-1,1480.0,1,0
1,853,-1,1370.0,2,0
1,854,1,940.0,0,3
1,855,1,2200.0,1,2
1,856,-1,5630.0,3,2
1,857,-1,2440.0,0,0
1,858,1,2040.0,2,3
1,859,-1,4310.0,2,1
1,860,-1,910.0,3,0
1,861,1,1270.0,1,3
1,862,1,1950.0,1,2
1,863,1,800.0,1,3
1,864,-1,3280.0,2,1
1,865,1,1290.0,0,3
1,866,-1,8030.0,1,1
1,867,-1,2320.0,3,2
1,868,1,1650.0,0,2
1,869,1,1340.0,0,3
1,870,1,1300.0,0,2
1,871,-1,1610.0,2,1
1,872,-1,1260.0,3,0
1,873,1,1320.0,2,3
1,874,-1,1430.0,3,0
1,875,-1,750.0,2,0
1,876,-1,3460.0,1,0
1,877,1,2540.0,2,3
1,878,-1,1090.0,2,1
1,879,1,2800.0,0,1
1,880,1,1030.0,0,2
1,881,-1,1530.0,2,0
1,882,1,2750.0,2,3
1,883,1,6320.0,1,1
1,884,1,1350.0,1,3
1,885,-1,1980.0,1,0
1,886,-1,1420.0,2,0
1,887,-1,1800.0,1,0
1,888,-1,2130.0,2,1
1,889,-1,3340.0,1,0
1,890,-1,870.0,3,0
1,891,1,2410.0,1,2
1,892,-1,1160.0,3,2
1,893,-1,1460.0,2,0
1,894,-1,1660.0,3,2
1,895,-1,1530.0,1,0
1,896,1,1180.0,0,3
1,897,1,1580.0,0,2
1,898,1,2010.0,0,2
1,899,1,3950.0,1,2
1,900,1,3370.0,0,1
1,901,-1,1160.0,3,1
1,902,1,610.0,0,2
1,903,1,1170.0,2,3
1,904,-1,1760.0,2,0
1,905,1,730.0,1,3
1,906,1,3470.0,0,0
1,907,1,1400.0,0,2
1,908,-1,3040.0,2,1
1,909,1,6440.0,1,1
