d,sigma,theta
0.018,0.22,0.12
0.019,0.22,0.12
0.02,0.22,0.12
0.021,0.22,0.12
0.022,0.22,0.12
0.023,0.22,0.12
0.024,0.22,0.12
0.025,0.22,0.12
0.001,0.23,0.12
0.002,0.23,0.12
0.003,0.23,0.12
0.004,0.23,0.12
0.005,0.23,0.12
0.006,0.23,0.12
0.007,0.23,0.12
0.008,0.23,0.12
0.009,0.23,0.12
0.01,0.23,0.12
0.011,0.23,0.12
0.012,0.23,0.12
0.013,0.23,0.12
0.014,0.23,0.12
0.015,0.23,0.12
0.016,0.23,0.12
0.017,0.23,0.12
0.018,0.23,0.12
0.019,0.23,0.12
0.02,0.23,0.12
0.021,0.23,0.12
0.022,0.23,0.12
0.023,0.23,0.12
0.024,0.23,0.12
0.025,0.23,0.12
0.001,0.24,0.12
0.002,0.24,0.12
0.003,0.24,0.12
0.004,0.24,0.12
0.005,0.24,0.12
0.006,0.24,0.12
0.007,0.24,0.12
0.008,0.24,0.12
0.009,0.24,0.12
0.01,0.24,0.12
0.011,0.24,0.12
0.012,0.24,0.12
0.013,0.24,0.12
0.014,0.24,0.12
0.015,0.24,0.12
0.016,0.24,0.12
0.017,0.24,0.12
0.018,0.24,0.12
0.019,0.24,0.12
0.02,0.24,0.12
0.021,0.24,0.12
0.022,0.24,0.12
0.023,0.24,0.12
0.024,0.24,0.12
0.025,0.24,0.12
0.001,0.25,0.12
0.002,0.25,0.12
0.003,0.25,0.12
0.004,0.25,0.12
0.005,0.25,0.12
0.006,0.25,0.12
0.007,0.25,0.12
0.008,0.25,0.12
0.009,0.25,0.12
0.01,0.25,0.12
0.011,0.25,0.12
0.012,0.25,0.12
0.013,0.25,0.12
0.014,0.25,0.12
0.015,0.25,0.12
0.016,0.25,0.12
0.017,0.25,0.12
0.018,0.25,0.12
0.019,0.25,0.12
0.02,0.25,0.12
0.021,0.25,0.12
0.022,0.25,0.12
0.023,0.25,0.12
0.024,0.25,0.12
0.025,0.25,0.12
0.001,0.01,0.15
0.002,0.01,0.15
0.003,0.01,0.15
0.004,0.01,0.15
0.005,0.01,0.15
0.006,0.01,0.15
0.007,0.01,0.15
0.008,0.01,0.15
0.009,0.01,0.15
0.01,0.01,0.15
0.011,0.01,0.15
0.012,0.01,0.15
0.013,0.01,0.15
0.014,0.01,0.15
0.015,0.01,0.15
0.016,0.01,0.15
0.017,0.01,0.15
0.018,0.01,0.15
0.019,0.01,0.15
0.02,0.01,0.15
0.021,0.01,0.15
0.022,0.01,0.15
0.023,0.01,0.15
0.024,0.01,0.15
0.025,0.01,0.15
0.001,0.02,0.15
0.002,0.02,0.15
0.003,0.02,0.15
0.004,0.02,0.15
0.005,0.02,0.15
0.006,0.02,0.15
0.007,0.02,0.15
0.008,0.02,0.15
0.009,0.02,0.15
0.01,0.02,0.15
0.011,0.02,0.15
0.012,0.02,0.15
0.013,0.02,0.15
0.014,0.02,0.15
0.015,0.02,0.15
0.016,0.02,0.15
0.017,0.02,0.15
0.018,0.02,0.15
0.019,0.02,0.15
0.02,0.02,0.15
0.021,0.02,0.15
0.022,0.02,0.15
0.023,0.02,0.15
0.024,0.02,0.15
0.025,0.02,0.15
0.001,0.03,0.15
0.002,0.03,0.15
0.003,0.03,0.15
0.004,0.03,0.15
0.005,0.03,0.15
0.006,0.03,0.15
0.007,0.03,0.15
0.008,0.03,0.15
0.009,0.03,0.15
0.01,0.03,0.15
0.011,0.03,0.15
0.012,0.03,0.15
0.013,0.03,0.15
0.014,0.03,0.15
0.015,0.03,0.15
0.016,0.03,0.15
0.017,0.03,0.15
0.018,0.03,0.15
0.019,0.03,0.15
0.02,0.03,0.15
0.021,0.03,0.15
0.022,0.03,0.15
0.023,0.03,0.15
0.024,0.03,0.15
0.025,0.03,0.15
0.001,0.04,0.15
0.002,0.04,0.15
0.003,0.04,0.15
0.004,0.04,0.15
0.005,0.04,0.15
0.006,0.04,0.15
0.007,0.04,0.15
0.008,0.04,0.15
0.009,0.04,0.15
0.01,0.04,0.15
0.011,0.04,0.15
0.012,0.04,0.15
0.013,0.04,0.15
0.014,0.04,0.15
0.015,0.04,0.15
0.016,0.04,0.15
0.017,0.04,0.15
0.018,0.04,0.15
0.019,0.04,0.15
0.02,0.04,0.15
0.021,0.04,0.15
0.022,0.04,0.15
0.023,0.04,0.15
0.024,0.04,0.15
0.025,0.04,0.15
0.001,0.05,0.15
0.002,0.05,0.15
0.003,0.05,0.15
0.004,0.05,0.15
0.005,0.05,0.15
0.006,0.05,0.15
0.007,0.05,0.15
0.008,0.05,0.15
