parcode,trial,rt,choice,item_left,item_right
13,34,5164,-1,1,4
13,35,12014,1,1,2
13,36,5284,-1,0,0
13,37,7170,-1,2,0
13,38,10207,-1,4,3
13,39,5170,1,2,2
13,40,3539,-1,2,0
13,41,2265,-1,0,1
13,42,5702,-1,6,2
13,43,5594,-1,4,1
13,44,3327,1,2,2
13,45,3654,-1,3,2
13,46,5344,-1,1,0
13,47,9517,1,2,2
13,48,1832,1,1,3
13,49,4326,1,1,2
13,50,12079,-1,5,3
13,51,5578,1,0,1
13,52,1590,1,2,4
13,53,2614,1,2,1
13,54,2150,1,2,5
13,55,2359,1,1,1
13,56,5442,1,2,2
13,57,11225,-1,5,4
13,58,2108,-1,1,0
13,59,2174,-1,2,3
13,60,1882,-1,4,0
13,61,9030,1,1,3
13,62,943,-1,0,0
13,63,6752,-1,3,2
13,64,2355,-1,2,0
13,65,8135,-1,4,2
13,66,1917,1,2,0
13,67,9664,1,4,5
13,68,2398,-1,2,0
13,69,1287,1,0,4
13,70,1596,1,0,3
13,71,1887,-1,3,0
13,72,2173,1,2,0
13,73,1504,1,2,4
13,74,2103,1,1,3
13,75,2648,-1,2,1
13,76,3629,-1,5,6
13,77,3659,-1,2,0
13,78,3903,-1,1,1
13,79,1677,-1,0,2
13,80,1024,1,1,4
13,81,2237,-1,2,1
13,82,5201,1,4,0
13,83,1435,-1,5,0
13,84,8584,1,2,3
13,85,2135,-1,0,1
13,86,2029,-1,4,2
13,87,3619,-1,3,2
13,88,1823,-1,1,0
13,89,7245,-1,1,0
13,90,2863,-1,5,1
13,91,1676,1,0,1
13,92,2210,-1,4,3
13,93,1988,1,2,3
13,94,1683,-1,2,0
13,95,1702,-1,2,1
13,96,1498,1,5,6
13,97,2328,1,0,4
13,98,5841,-1,2,1
13,99,2172,-1,3,0
13,100,2046,-1,0,2
14,1,2234,-1,2,0
14,2,2158,1,2,4
14,3,1653,-1,1,5
14,4,1243,-1,5,1
14,5,1638,-1,6,2
14,6,2355,-1,4,2
14,7,2454,1,2,4
14,8,2968,-1,0,1
14,9,1766,-1,0,2
14,10,4742,-1,2,0
14,11,2414,1,4,5
14,13,2062,1,0,4
14,14,1522,1,0,5
14,15,1340,1,2,3
14,16,2136,1,2,4
14,17,1237,1,2,6
14,18,2130,-1,5,3
14,19,1489,1,3,2
14,20,2721,1,1,1
14,21,2406,-1,2,0
14,22,2504,-1,3,4
14,23,1349,-1,3,2
14,24,1063,1,6,6
14,25,1917,1,1,0
14,26,2050,1,1,3
14,27,2353,-1,1,3
14,28,1895,-1,1,0
14,29,1493,-1,5,3
14,30,2199,-1,0,2
14,31,1902,1,1,3
14,32,1153,1,2,4
14,33,2024,-1,3,3
14,34,1923,-1,3,0
14,35,2772,-1,3,1
14,36,2161,-1,5,2
14,37,2088,-1,1,4
14,38,1633,1,4,5
14,39,1656,1,2,1
14,40,2284,1,0,4
14,41,1293,1,0,2
14,42,1764,1,4,1
14,43,1420,-1,5,0
14,44,2227,-1,5,2
14,45,1535,-1,3,0
14,46,1739,1,1,5
14,47,2245,-1,0,0
14,48,1256,1,0,3
14,49,2104,-1,2,1
14,50,1761,-1,2,0
14,51,1298,1,0,1
14,52,2719,-1,5,0
14,53,2205,1,1,3
14,54,2181,-1,0,4
14,55,1324,1,0,0
14,58,1577,1,1,3
14,59,2291,1,2,3
14,61,1686,1,2,4
14,62,2180,1,3,2
14,63,2344,1,3,0
14,64,2085,-1,3,3
14,65,2067,1,0,1
14,66,1465,-1,4,0
14,67,1587,1,3,5
14,68,1778,-1,3,4
14,69,1631,-1,3,3
14,70,1592,-1,1,4
14,71,1512,-1,3,2
14,72,1656,-1,0,3
14,73,1639,-1,0,1
14,74,1322,1,1,5
14,75,1620,1,4,3
14,76,1247,1,5,2
14,77,1731,-1,0,2
14,82,1789,-1,5,3
14,83,1116,-1,3,1
14,84,1578,1,0,0
14,85,2061,-1,1,2
14,87,1442,-1,2,0
14,88,1677,1,4,3
14,90,2116,-1,2,2
14,91,1315,-1,5,3
14,92,2174,1,2,0
14,93,1003,-1,3,8
14,94,2759,1,0,4
