d,sigma,theta
0.001,0.01,0.27
0.002,0.01,0.27
0.003,0.01,0.27
0.004,0.01,0.27
0.005,0.01,0.27
0.006,0.01,0.27
0.007,0.01,0.27
0.008,0.01,0.27
0.009,0.01,0.27
0.01,0.01,0.27
0.011,0.01,0.27
0.012,0.01,0.27
0.013,0.01,0.27
0.014,0.01,0.27
0.015,0.01,0.27
0.016,0.01,0.27
0.017,0.01,0.27
0.018,0.01,0.27
0.019,0.01,0.27
0.02,0.01,0.27
0.001,0.02,0.27
0.002,0.02,0.27
0.003,0.02,0.27
0.004,0.02,0.27
0.005,0.02,0.27
0.006,0.02,0.27
0.007,0.02,0.27
0.008,0.02,0.27
0.009,0.02,0.27
0.01,0.02,0.27
0.011,0.02,0.27
0.012,0.02,0.27
0.013,0.02,0.27
0.014,0.02,0.27
0.015,0.02,0.27
0.016,0.02,0.27
0.017,0.02,0.27
0.018,0.02,0.27
0.019,0.02,0.27
0.02,0.02,0.27
0.001,0.03,0.27
0.002,0.03,0.27
0.003,0.03,0.27
0.004,0.03,0.27
0.005,0.03,0.27
0.006,0.03,0.27
0.007,0.03,0.27
0.008,0.03,0.27
0.009,0.03,0.27
0.01,0.03,0.27
0.011,0.03,0.27
0.012,0.03,0.27
0.013,0.03,0.27
0.014,0.03,0.27
0.015,0.03,0.27
0.016,0.03,0.27
0.017,0.03,0.27
0.018,0.03,0.27
0.019,0.03,0.27
0.02,0.03,0.27
0.001,0.04,0.27
0.002,0.04,0.27
0.003,0.04,0.27
0.004,0.04,0.27
0.005,0.04,0.27
0.006,0.04,0.27
0.007,0.04,0.27
0.008,0.04,0.27
0.009,0.04,0.27
0.01,0.04,0.27
0.011,0.04,0.27
0.012,0.04,0.27
0.013,0.04,0.27
0.014,0.04,0.27
0.015,0.04,0.27
0.016,0.04,0.27
0.017,0.04,0.27
0.018,0.04,0.27
0.019,0.04,0.27
0.02,0.04,0.27
0.001,0.05,0.27
0.002,0.05,0.27
0.003,0.05,0.27
0.004,0.05,0.27
0.005,0.05,0.27
0.006,0.05,0.27
0.007,0.05,0.27
0.008,0.05,0.27
0.009,0.05,0.27
0.01,0.05,0.27
0.011,0.05,0.27
0.012,0.05,0.27
0.013,0.05,0.27
0.014,0.05,0.27
0.015,0.05,0.27
0.016,0.05,0.27
0.017,0.05,0.27
0.018,0.05,0.27
0.019,0.05,0.27
0.02,0.05,0.27
0.001,0.06,0.27
0.002,0.06,0.27
0.003,0.06,0.27
0.004,0.06,0.27
0.005,0.06,0.27
0.006,0.06,0.27
0.007,0.06,0.27
0.008,0.06,0.27
0.009,0.06,0.27
0.01,0.06,0.27
